month	day	sunrise	sunset	light
01	01	2018-01-01 07:20:07	2018-01-01 16:39:02	9.3152
01	02	2018-01-02 07:20:13	2018-01-02 16:39:53	9.3280
01	03	2018-01-03 07:20:16	2018-01-03 16:40:46	9.3418
01	04	2018-01-04 07:20:17	2018-01-04 16:41:41	9.3567
01	05	2018-01-05 07:20:15	2018-01-05 16:42:37	9.3726
01	06	2018-01-06 07:20:11	2018-01-06 16:43:34	9.3895
01	07	2018-01-07 07:20:05	2018-01-07 16:44:32	9.4075
01	08	2018-01-08 07:19:57	2018-01-08 16:45:32	9.4264
01	09	2018-01-09 07:19:47	2018-01-09 16:46:33	9.4462
01	10	2018-01-10 07:19:34	2018-01-10 16:47:35	9.4671
01	11	2018-01-11 07:19:19	2018-01-11 16:48:38	9.4888
01	12	2018-01-12 07:19:02	2018-01-12 16:49:43	9.5115
01	13	2018-01-13 07:18:42	2018-01-13 16:50:48	9.5350
01	14	2018-01-14 07:18:20	2018-01-14 16:51:54	9.5594
01	15	2018-01-15 07:17:57	2018-01-15 16:53:01	9.5847
01	16	2018-01-16 07:17:31	2018-01-16 16:54:09	9.6108
01	17	2018-01-17 07:17:02	2018-01-17 16:55:18	9.6377
01	18	2018-01-18 07:16:32	2018-01-18 16:56:27	9.6654
01	19	2018-01-19 07:16:00	2018-01-19 16:57:38	9.6939
01	20	2018-01-20 07:15:25	2018-01-20 16:58:48	9.7231
01	21	2018-01-21 07:14:49	2018-01-21 16:59:59	9.7530
01	22	2018-01-22 07:14:10	2018-01-22 17:01:11	9.7837
01	23	2018-01-23 07:13:29	2018-01-23 17:02:23	9.8150
01	24	2018-01-24 07:12:47	2018-01-24 17:03:36	9.8470
01	25	2018-01-25 07:12:02	2018-01-25 17:04:49	9.8797
01	26	2018-01-26 07:11:16	2018-01-26 17:06:02	9.9129
01	27	2018-01-27 07:10:27	2018-01-27 17:07:16	9.9468
01	28	2018-01-28 07:09:37	2018-01-28 17:08:29	9.9812
01	29	2018-01-29 07:08:45	2018-01-29 17:09:43	10.0163
01	30	2018-01-30 07:07:51	2018-01-30 17:10:58	10.0518
01	31	2018-01-31 07:06:55	2018-01-31 17:12:12	10.0879
02	01	2018-02-01 07:05:58	2018-02-01 17:13:26	10.1245
02	02	2018-02-02 07:04:59	2018-02-02 17:14:40	10.1615
02	03	2018-02-03 07:03:58	2018-02-03 17:15:55	10.1991
02	04	2018-02-04 07:02:56	2018-02-04 17:17:09	10.2371
02	05	2018-02-05 07:01:52	2018-02-05 17:18:23	10.2755
02	06	2018-02-06 07:00:46	2018-02-06 17:19:38	10.3143
02	07	2018-02-07 06:59:39	2018-02-07 17:20:52	10.3535
02	08	2018-02-08 06:58:31	2018-02-08 17:22:06	10.3931
02	09	2018-02-09 06:57:21	2018-02-09 17:23:20	10.4331
02	10	2018-02-10 06:56:09	2018-02-10 17:24:33	10.4734
02	11	2018-02-11 06:54:56	2018-02-11 17:25:47	10.5141
02	12	2018-02-12 06:53:42	2018-02-12 17:27:00	10.5550
02	13	2018-02-13 06:52:27	2018-02-13 17:28:13	10.5963
02	14	2018-02-14 06:51:10	2018-02-14 17:29:26	10.6379
02	15	2018-02-15 06:49:52	2018-02-15 17:30:39	10.6797
02	16	2018-02-16 06:48:33	2018-02-16 17:31:51	10.7218
02	17	2018-02-17 06:47:12	2018-02-17 17:33:03	10.7641
02	18	2018-02-18 06:45:51	2018-02-18 17:34:15	10.8067
02	19	2018-02-19 06:44:28	2018-02-19 17:35:26	10.8495
02	20	2018-02-20 06:43:05	2018-02-20 17:36:38	10.8925
02	21	2018-02-21 06:41:40	2018-02-21 17:37:49	10.9358
02	22	2018-02-22 06:40:14	2018-02-22 17:38:59	10.9792
02	23	2018-02-23 06:38:48	2018-02-23 17:40:10	11.0228
02	24	2018-02-24 06:37:20	2018-02-24 17:41:20	11.0665
02	25	2018-02-25 06:35:52	2018-02-25 17:42:29	11.1104
02	26	2018-02-26 06:34:22	2018-02-26 17:43:39	11.1545
02	27	2018-02-27 06:32:52	2018-02-27 17:44:48	11.1987
02	28	2018-02-28 06:31:22	2018-02-28 17:45:57	11.2431
03	01	2018-03-01 06:29:50	2018-03-01 17:47:05	11.2875
03	02	2018-03-02 06:28:18	2018-03-02 17:48:13	11.3321
03	03	2018-03-03 06:26:45	2018-03-03 17:49:21	11.3768
03	04	2018-03-04 06:25:11	2018-03-04 17:50:29	11.4216
03	05	2018-03-05 06:23:37	2018-03-05 17:51:36	11.4665
03	06	2018-03-06 06:22:02	2018-03-06 17:52:43	11.5114
03	07	2018-03-07 06:20:27	2018-03-07 17:53:50	11.5564
03	08	2018-03-08 06:18:51	2018-03-08 17:54:57	11.6015
03	09	2018-03-09 06:17:15	2018-03-09 17:56:03	11.6467
03	10	2018-03-10 06:15:38	2018-03-10 17:57:09	11.6919
03	11	2018-03-11 07:14:01	2018-03-11 18:58:15	11.7372
03	12	2018-03-12 07:12:23	2018-03-12 18:59:20	11.7825
03	13	2018-03-13 07:10:45	2018-03-13 19:00:26	11.8279
03	14	2018-03-14 07:09:07	2018-03-14 19:01:31	11.8732
03	15	2018-03-15 07:07:29	2018-03-15 19:02:36	11.9186
03	16	2018-03-16 07:05:50	2018-03-16 19:03:41	11.9640
03	17	2018-03-17 07:04:11	2018-03-17 19:04:45	12.0095
03	18	2018-03-18 07:02:32	2018-03-18 19:05:50	12.0549
03	19	2018-03-19 07:00:53	2018-03-19 19:06:54	12.1003
03	20	2018-03-20 06:59:13	2018-03-20 19:07:58	12.1458
03	21	2018-03-21 06:57:34	2018-03-21 19:09:02	12.1912
03	22	2018-03-22 06:55:54	2018-03-22 19:10:06	12.2366
03	23	2018-03-23 06:54:14	2018-03-23 19:11:09	12.2820
03	24	2018-03-24 06:52:35	2018-03-24 19:12:13	12.3273
03	25	2018-03-25 06:50:55	2018-03-25 19:13:17	12.3727
03	26	2018-03-26 06:49:16	2018-03-26 19:14:20	12.4179
03	27	2018-03-27 06:47:36	2018-03-27 19:15:23	12.4632
